Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],240000,2013,64000,Petrol,Manual,Faizabad,White,First,Individual,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515.0,1500.0,1510.0,5.0,32.0
Volkswagen,Polo Comfortline 1.2L (P),240000,2010,78000,Petrol,Manual,Ludhiana,White,Second,Individual,,,,,,,,,
Honda,Amaze 1.5 VX i-DTEC,935000,2019,56000,Diesel,Manual,Hyderabad,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
Maruti Suzuki,Baleno Alpha Automatic,775000,2018,39000,Petrol,Automatic,Mumbai,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1745.0,1510.0,5.0,37.0
Mahindra,Scorpio S4 1.99 [2016-2017],950000,2017,55000,Diesel,Manual,Patna,White,Second,Individual,1997 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,8.0,60.0
Hyundai,Grand i10 Magna AT 1.2 Kappa VTVT,549000,2018,53000,Petrol,Automatic,Hyderabad,White,Second,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Maruti Suzuki,Eeco 5 STR WITH A/C+HTR CNG [2017-2019],645000,2021,1374,CNG,Manual,Mumbai,Grey,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,5.0,40.0
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],3400000,2018,68000,Diesel,Automatic,Hyderabad,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
Hyundai,Elite i20 Sportz 1.2 [2016-2017],645000,2019,35000,Petrol,Manual,Mumbai,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
BMW,5-Series 520d M Sport,2600000,2016,39000,Diesel,Automatic,Delhi,White,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,65.0
Audi,A4 2.0 TDI (177bhp) Premium,1375000,2011,62000,Diesel,Automatic,Chennai,White,First,Individual,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
Honda,City V CVT Petrol [2017-2019],1340000,2021,11000,Petrol,Automatic,Mumbai,Black,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,Swift ZXi Plus [2018-2019],840000,2020,11000,Petrol,Manual,Bangalore,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Maruti Suzuki,Swift DZire VXI,525000,2014,102000,Petrol,Manual,Salem,Grey,Second,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
Maruti Suzuki,Eeco 7 STR STD (O),625000,2022,7000,Petrol,Manual,Hyderabad,Grey,First,Individual,1196 cc,72 bhp @ 6000 rpm,98 Nm @ 3000 rpm,RWD,3675.0,1475.0,1825.0,7.0,40.0
Hyundai,Eon Sportz,215000,2012,20000,Petrol,Manual,Mumbai,Grey,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],595000,2019,25000,Petrol,Manual,Hyderabad,Silver,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Audi,A4 Premium Plus 40 TFSI,4150000,2022,22000,Petrol,Automatic,Delhi,White,First,Individual,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1450 rpm,FWD,4762.0,1847.0,1433.0,5.0,54.0
Maruti Suzuki,Swift VDi,750000,2018,65000,Diesel,Manual,Hyderabad,Blue,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Ford,Ecosport Titanium 1.5 Ti-VCT,550000,2013,47000,Petrol,Manual,Indore,Black,First,Individual,1499 cc,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
Renault,Duster 110 PS RXZ 4X2 MT Diesel,450000,2016,2000000,Diesel,Manual,Ranchi,White,First,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
BMW,X5 xDrive30d Pure Experience (5 Seater),4175000,2016,27011,Diesel,Automatic,Chandigarh,White,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
Jaguar,XE Prestige Diesel,2700000,2018,45545,Diesel,Automatic,Chandigarh,Red,Second,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,RWD,4795.0,1967.0,1416.0,5.0,56.0
Mercedes-Benz,GLE 350 d,6150000,2018,18000,Diesel,Automatic,Chandigarh,Black,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,4819.0,2141.0,1796.0,5.0,93.0
Volkswagen,Polo Comfortline 1.2L (P),565000,2014,72782,Petrol,Manual,Bangalore,Grey,First,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
Maruti Suzuki,Alto VXi [2014-2019],369000,2017,16800,Petrol,Manual,Mumbai,Grey,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3545.0,1490.0,1475.0,5.0,35.0
Toyota,Yaris V CVT,1090000,2019,40900,Petrol,Automatic,Pune,Red,First,Corporate,1496 cc,106 bhp @ 6000 rpm,140 Nm @ 4200 rpm,FWD,4425.0,1730.0,1495.0,5.0,42.0
Honda,WR-V VX MT Petrol,580000,2017,39000,Petrol,Manual,Guwahati,White,First,Corporate,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
BMW,X1 sDrive20d xLine,2199000,2016,77000,Diesel,Automatic,Surat,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454.0,2044.0,1545.0,5.0,63.0
Mahindra,Scorpio S11 2WD 7 STR,1251000,2018,120000,Diesel,Manual,Ranchi,Black,Second,Individual,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,RWD,4456.0,1820.0,1995.0,7.0,60.0
Honda,Amaze 1.2 SX i-VTEC,540000,2017,38700,Petrol,Manual,Meerut,Maroon,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
Maruti Suzuki,XL6 Zeta MT Petrol,1245000,2021,7239,Petrol,Manual,Udupi,White,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4445.0,1775.0,1700.0,6.0,45.0
BMW,3-Series 330i M Sport Edition,4749000,2020,14000,Petrol,Automatic,Mumbai,White,First,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,365000,2014,76000,Petrol,Manual,Ernakulam,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
BMW,2 Series Gran Coupe 220d M Sport [2020-2021],4300000,2020,11000,Diesel,Automatic,Pune,Blue,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,4526.0,1800.0,1420.0,5.0,50.0
Maruti Suzuki,Vitara Brezza VDi,825000,2019,81300,Diesel,Manual,Ludhiana,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Volkswagen,Polo GT TDI,325000,2013,76000,Diesel,Manual,Lucknow,White,First,Individual,1598 cc,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
Tata,Tiago Revotron XM (O) [2016-2019],400000,2018,91460,Petrol,Manual,Kanpur,Black,First,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746.0,1647.0,1535.0,5.0,35.0
Land Rover,Evoque HSE Dynamic,3600000,2018,45000,Diesel,Automatic,Delhi,Blue,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4360.0,2120.0,1635.0,5.0,57.0
Mahindra,Scorpio LX BS-IV,671000,2013,47000,Diesel,Manual,Patna,White,First,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
Mercedes-Benz,GLC 220 d Progressive,3400000,2018,50000,Diesel,Automatic,Delhi,Blue,First,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656.0,1890.0,1639.0,5.0,66.0
BMW,7-Series 730Ld,3200000,2014,133273,Diesel,Automatic,Pune,Blue,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,RWD,5219.0,1902.0,1481.0,4.0,
Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,775000,2017,60500,Petrol,Automatic,Surat,White,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,4390.0,1699.0,1467.0,5.0,55.0
Mercedes-Benz,M-Class 350 CDI,2150000,2014,81000,Diesel,Automatic,Ahmedabad,Grey,First,Individual,2987 cc,234@3800,535@1600,AWD,4781.0,1911.0,1774.0,5.0,95.0
Land Rover,Discovery 2.0 HSE 4WD Diesel,4700000,2020,22000,Diesel,Automatic,Delhi,Red,Second,Individual,1999 cc,237 bhp @ 4000 rpm,430 Nm @ 1400 rpm,AWD,4988.0,2220.0,1846.0,5.0,
Ford,Ikon DuraTorq 1.4 TDCi,145000,2009,88000,Diesel,Manual,Unnao,White,First,Individual,1399 cc,68@4000,160@2000,,4145.0,1632.0,1440.0,5.0,43.0
MINI,Cooper D 5 Door,3590000,2020,19759,Diesel,Automatic,Coimbatore,Blue,First,Individual,1496 cc,114 bhp @ 4000 rpm,270 Nm @ 1750 rpm,FWD,3982.0,1727.0,1425.0,5.0,44.0
Toyota,Corolla Altis 1.8 G,375000,2011,77000,Petrol,Manual,Faridabad,Silver,First,Individual,1794 cc,132@6000,170@4200,FWD,4540.0,1760.0,1480.0,5.0,55.0
Hyundai,Verna Fluidic 1.6 VTVT SX AT,645000,2015,58200,Petrol,Automatic,Mumbai,Silver,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Toyota,Vellfire Hybrid,11500000,2022,4000,Hybrid,Automatic,Delhi,Black,First,Individual,2494 cc,115 bhp @ 4700 rpm,198 Nm @ 2800 rpm,AWD,4935.0,1850.0,1895.0,7.0,58.0
Maruti Suzuki,Celerio ZXi,509999,2015,42000,Petrol,Manual,Bangalore,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
Hyundai,Elantra 1.8 SX AT,545000,2013,63000,Petrol,Automatic,Mumbai,Silver,First,Individual,1797 cc,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD,4530.0,1775.0,1470.0,5.0,56.0
Honda,City V,835000,2018,42855,Petrol,Manual,Pune,Brown,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Renault,Duster 85 PS RXS 4X2 MT Diesel,960000,2018,24000,Diesel,Manual,Bangalore,Brown,First,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
Maruti Suzuki,Celerio VXi [2019-2020],540000,2019,34000,Petrol,Manual,Chennai,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695.0,1600.0,1560.0,5.0,35.0
Kia,Seltos HTK Plus 1.5 iMT,1475000,2022,9500,Petrol,Manual,Delhi,White,First,Individual,1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD,4315.0,1800.0,1637.0,5.0,50.0
Jaguar,XJ 3.0 V6 Portfolio,3600000,2014,32000,Diesel,Automatic,Pune,Brown,Second,Individual,2993 cc,271 bhp @ 4000 rpm,600 Nm @ 2000 rpm,RWD,5252.0,1899.0,1457.0,5.0,83.0
Hyundai,Verna 1.6 CRDI SX (O),1175000,2018,97000,Diesel,Manual,Jaipur,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Hyundai,Verna Fluidic 1.6 VTVT SX Opt AT,475000,2014,72900,Petrol,Automatic,Mumbai,Blue,Second,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Audi,Q8 Celebration,9900000,2021,28000,Petrol,Automatic,Hyderabad,Silver,First,Individual,2995 cc,335 bhp @ 5000 rpm,500 Nm @ 1370 rpm,AWD,4986.0,1995.0,1705.0,5.0,85.0
Maruti Suzuki,Swift LXi,650000,2022,6000,Petrol,Manual,Delhi,White,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845.0,1735.0,1530.0,5.0,37.0
BMW,X4 xDrive30d M Sport X [2019-2020],6100000,2021,24500,Diesel,Automatic,Mumbai,Red,First,Corporate,2993 cc,260 bhp @ 4000 rpm,620 Nm @ 2000 rpm,AWD,4752.0,1918.0,1621.0,5.0,68.0
Hyundai,i10 Sportz 1.2 AT Kappa2,370000,2013,41000,Petrol,Automatic,Pune,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
Honda,City VX (O) MT BL,875000,2018,50000,Petrol,Manual,Patna,Silver,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,DZire VDi AMT,695000,2018,66000,Diesel,Automatic,Warangal,Red,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
Tata,Harrier XZA Plus,2275000,2022,38000,Diesel,Automatic,Mumbai,Black,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598.0,1894.0,1706.0,5.0,50.0
Jeep,Compass Model S (O) 1.4 Petrol DCT,2700000,2021,17000,Petrol,Automatic,Delhi,Blue,First,Individual,1368 cc,161 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4405.0,1818.0,1640.0,5.0,60.0
Hyundai,Verna Fluidic 1.6 CRDi SX,545000,2014,74000,Diesel,Manual,Mohali,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Maruti Suzuki,Wagon R VXi 1.0 [2019-2019],540000,2021,22000,Petrol,Manual,Gorakhpur,White,First,Individual,,,,,3655.0,1620.0,1675.0,5.0,32.0
Skoda,Rapid Style 1.6 MPI AT,1099000,2018,20690,Petrol,Automatic,Bangalore,Red,First,Individual,1598 cc,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,FWD,4413.0,1699.0,1466.0,5.0,55.0
Hyundai,Verna 1.6 CRDI SX,1125000,2019,40000,Diesel,Manual,Ludhiana,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Hyundai,Creta 1.6 SX Plus AT Petrol,1299000,2018,50000,Petrol,Automatic,Mumbai,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
BMW,5-Series 525d Luxury Plus,1600000,2013,70000,Diesel,Automatic,Mumbai,White,Second,Individual,1995 cc,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,
BMW,X6 xDrive40i M Sport,10800000,2021,20000,Petrol,Automatic,Chandigarh,Red,First,Individual,2998 cc,335 bhp @ 5500 rpm,450 Nm @ 1500 rpm,AWD,4935.0,2004.0,1696.0,5.0,83.0
Maruti Suzuki,XL6 Alpha AT Petrol,1190000,2020,47248,Petrol,Automatic,Jaipur,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4445.0,1775.0,1700.0,6.0,45.0
Tata,Tigor XZA Plus,795000,2021,9000,Petrol,Automatic,Pune,Brown,First,Individual,1199 cc,84 bhp @ 6000 rpm,113 Nm @ 3300 rpm,FWD,3993.0,1677.0,1532.0,5.0,35.0
Hyundai,Verna Fluidic 1.6 CRDi SX,459999,2013,78000,Diesel,Manual,Ahmedabad,White,Second,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Audi,A6 35 TDI Matrix,3400000,2018,51000,Diesel,Automatic,Hyderabad,Red,First,Individual,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933.0,1874.0,1455.0,5.0,75.0
Hyundai,Creta E Plus 1.6 Petrol,1050000,2018,34841,Petrol,Manual,Hyderabad,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,Individual,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995.0,1710.0,1505.0,5.0,45.0
Honda,City S Diesel,585000,2015,61000,Diesel,Manual,Ranchi,Grey,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Audi,A3 35 TDI Premium + Sunroof,1650000,2014,55000,Diesel,Automatic,Mumbai,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
Maruti Suzuki,Swift VXi [2014-2017],625000,2020,58736,Petrol,Manual,Kollam,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],910000,2019,34000,Petrol,Manual,Delhi,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Mahindra,XUV500 W11,1275000,2018,47000,Diesel,Manual,Ranchi,White,First,Individual,2179 cc,153 bhp @ 3750 rpm,360 Nm @ 1750 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
Hyundai,Elite i20 Magna 1.2 [2016-2017],585000,2017,47000,Petrol,Manual,Delhi,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Mahindra,Thar CRDe 4x4 Non AC,1035000,2017,79000,Diesel,Manual,Mysore,Green,First,Individual,2498 cc,105@3800,247@1800,AWD,3920.0,1710.0,1930.0,7.0,60.0
Hyundai,Elite i20 Asta 1.2 IVT,1075000,2021,12020,Petrol,Automatic,Mumbai,White,First,Individual,1197 cc,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,Creta SX 1.5 Diesel [2020-2022],1650000,2020,7000,Diesel,Manual,Ahmedabad,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
Audi,A4 2.0 TDI (143bhp),1575000,2014,15000,Diesel,Automatic,Delhi,Red,First,Individual,1968 cc,141 bhp @ 4200 rpm,320 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
BMW,X3 xDrive20d,1950000,2014,82000,Diesel,Automatic,Chandigarh,White,Second,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,AWD,4648.0,1881.0,1661.0,5.0,67.0
BMW,5-Series 520d Luxury Line [2017-2019],6390000,2022,6000,Diesel,Automatic,Mumbai,Grey,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4936.0,1868.0,1479.0,5.0,65.0
Hyundai,Creta 1.4 S Plus,1080000,2019,68000,Diesel,Manual,Bhopal,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,224 Nm @ 1500 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Audi,Q7 45 TDI Premium Plus,5500000,2017,24000,Diesel,Automatic,Gurgaon,White,First,Individual,2967 cc,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD,5052.0,1968.0,1740.0,7.0,75.0
Hyundai,Venue SX (O) 1.5 CRDi,1080000,2020,56000,Diesel,Manual,Jalandhar,Blue,First,Individual,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
Mahindra,XUV500 W6,800000,2015,25000,Diesel,Manual,Mumbai,Grey,First,Corporate,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
Datsun,Go Plus T,335000,2017,34000,Petrol,Manual,Lucknow,Brown,First,Individual,1198 cc,67 bhp @ 5000 rpm,104 Nm @ 4000 rpm,FWD,3995.0,1635.0,1490.0,7.0,35.0
Hyundai,Venue SX 1.0 Turbo iMT,1185000,2021,10700,Petrol,Manual,Jaipur,White,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
Hyundai,Elite i20 Sportz 1.2 IVT,894999,2021,25000,Petrol,Automatic,Mumbai,White,First,Individual,1197 cc,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD,3995.0,1775.0,1505.0,5.0,37.0
Honda,Amaze 1.2 S CVT Petrol [2018-2020],650000,2019,54000,Petrol,Automatic,Varanasi,White,Second,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3995.0,1695.0,1501.0,5.0,35.0
Hyundai,i20 Sportz 1.4 CRDI,550000,2014,75000,Diesel,Manual,Bangalore,Maroon,First,Individual,1396 cc,90@4000,220@1750,,3940.0,1710.0,1505.0,5.0,45.0
Maruti Suzuki,Baleno Delta 1.3,550000,2016,88000,Diesel,Manual,Kanpur,Blue,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Audi,Q3 35 TDI Premium + Sunroof,1650000,2016,139000,Diesel,Automatic,Jaipur,White,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
Skoda,Kushaq Style 1.0L TSI MT,1600000,2022,1300,Petrol,Manual,Mumbai,Red,First,Individual,999 cc,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4225.0,1760.0,1612.0,5.0,50.0
Hyundai,Verna 1.6 VTVT SX (O),1175000,2019,20000,Petrol,Manual,Delhi,Black,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Mitsubishi,Pajero Select Plus AT,1995000,2018,122000,Diesel,Automatic,Kota,Silver,First,Individual,2477 cc,176 bhp @ 4000 rpm,350 Nm @ 1800 rpm,RWD,4695.0,1815.0,1840.0,7.0,70.0
Hyundai,Elite i20 Sportz 1.4 CRDI [2016-2017],575000,2016,38000,Diesel,Manual,Patna,Silver,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
MG,Hector Sharp 2.0 Diesel Turbo MT,1975000,2021,18500,Diesel,Manual,Hyderabad,Red,First,Individual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4655.0,1835.0,1760.0,5.0,60.0
Hyundai,Creta SX (O) 1.5 Diesel [2020-2022],1625000,2022,27800,Diesel,Manual,Gurgaon,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
Maruti Suzuki,Swift VXi [2014-2017],695000,2019,46027,Petrol,Manual,Hyderabad,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Toyota,Yaris J CVT [2018-2020],875000,2018,23148,Petrol,Automatic,Bangalore,Red,First,Individual,1496 cc,106 bhp @ 6000 rpm,140 Nm @ 4200 rpm,FWD,4425.0,1730.0,1495.0,5.0,42.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],1495000,2017,28000,Petrol,Automatic,Mumbai,Grey,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670.0,1814.0,1476.0,5.0,50.0
Maruti Suzuki,Swift ZXi AMT [2018-2019],725000,2019,11874,Petrol,Automatic,Pune,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Hyundai,Creta E Plus 1.6 Petrol,875000,2017,50000,Petrol,Manual,Mumbai,Silver,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
BMW,5-Series 520d Modern Line,2250000,2014,88000,Diesel,Automatic,Bangalore,Black,Third,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,
Ford,Endeavour Trend 2.2 4x2 AT,2350000,2016,75000,Diesel,Automatic,Mohali,White,Second,Individual,2198 cc,158 bhp @ 3200 rpm,385 Nm @ 1600 rpm,RWD,4892.0,1860.0,1837.0,7.0,80.0
BMW,3-Series 320d Prestige,2690000,2019,15500,Diesel,Automatic,Delhi,Blue,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Maruti Suzuki,Ciaz VDi+ SHVS,695000,2016,82445,Diesel,Manual,Hyderabad,Grey,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
